,id,bbox,centers,radius
0,28,"[[275, 414, 59, 57]]","[(304, 443)]",[29]
1,30,"[[416, 147, 21, 19]]","[(426, 157)]",[10]
2,39,"[[224, 260, 91, 89], [313, 432, 55, 57], [444, 434, 52, 53], [201, 478, 90, 34]]","[(269, 305), (341, 460), (470, 460), (246, 523)]","[45, 28, 26, 45]"
3,42,"[[15, 491, 57, 20]]","[(43, 519)]",[28]
4,43,"[[364, 365, 58, 53], [365, 492, 58, 20], [493, 494, 19, 17]]","[(393, 394), (394, 521), (502, 503)]","[29, 29, 9]"
5,44,"[[176, 56, 46, 43], [257, 58, 46, 42], [179, 143, 44, 38], [258, 142, 45, 43], [163, 359, 71, 65], [300, 359, 71, 64], [16, 492, 57, 20], [301, 487, 69, 25]]","[(199, 79), (280, 81), (201, 165), (280, 164), (198, 394), (335, 394), (44, 520), (335, 521)]","[23, 23, 22, 22, 35, 35, 28, 34]"
6,45,"[[299, 386, 59, 54]]","[(328, 415)]",[29]
7,46,"[[159, 379, 66, 59]]","[(192, 412)]",[33]
8,47,"[[256, 309, 49, 49]]","[(280, 333)]",[24]
9,48,"[[358, 56, 52, 52]]","[(384, 82)]",[26]
10,49,"[[198, 3, 94, 90], [196, 167, 61, 61], [191, 351, 60, 59], [317, 1, 47, 12], [447, 1, 44, 12]]","[(245, 50), (226, 197), (221, 381), (340, 24), (469, 23)]","[47, 30, 30, 23, 22]"
11,51,"[[490, 18, 21, 49], [492, 303, 20, 50], [478, 420, 33, 70]]","[(514, 42), (517, 328), (513, 455)]","[24, 25, 35]"
12,52,"[[16, 16, 59, 53], [17, 300, 56, 53], [5, 420, 71, 67], [141, 426, 59, 55]]","[(45, 45), (45, 328), (40, 455), (170, 455)]","[29, 28, 35, 29]"
13,53,"[[220, 420, 73, 68], [216, 295, 76, 67], [363, 301, 59, 55], [363, 428, 60, 52], [363, 143, 60, 54], [364, 17, 59, 54], [490, 19, 20, 52], [491, 304, 21, 50], [492, 431, 19, 55]]","[(256, 456), (254, 333), (392, 330), (393, 458), (393, 173), (393, 46), (516, 45), (516, 329), (519, 458)]","[36, 38, 29, 30, 30, 29, 26, 25, 27]"
14,54,"[[16, 18, 57, 52], [162, 139, 69, 64], [299, 12, 72, 63], [300, 137, 69, 67], [15, 303, 61, 52], [15, 431, 57, 51], [163, 297, 69, 63], [163, 424, 69, 64], [301, 424, 66, 64], [495, 351, 16, 81]]","[(44, 46), (196, 173), (335, 48), (334, 171), (45, 333), (43, 459), (197, 331), (197, 458), (334, 457), (535, 391)]","[28, 34, 36, 34, 30, 28, 34, 34, 33, 40]"
